"DataMessageGUID","SensorID","Sensor Name","Date","Formatted Value"
"0a2f613f-86e3-4a1d-a486-96953f48ee8a","465974","Humidity - 465974","19-11-24 13:57","32.66% @ 28.3° C"
"4cc03428-d129-49ef-8415-6cb6850f187c","465974","Humidity - 465974","19-11-24 13:47","32.68% @ 28.3° C"
"6b26f731-5d5d-40cd-bc32-0f782b64820d","465974","Humidity - 465974","19-11-24 13:37","32.64% @ 28.3° C"
"9d829899-c571-4622-a9d5-353f5845a582","465974","Humidity - 465974","19-11-24 13:27","32.63% @ 28.3° C"
"51c8a237-0b1a-4f5a-89ee-891215cf0765","465974","Humidity - 465974","19-11-24 13:17","32.64% @ 28.3° C"
"66b569c2-542f-4777-a0ec-6595ebf8746b","465974","Humidity - 465974","19-11-24 13:07","32.64% @ 28.3° C"
"1aca7304-e53b-4c74-a5ea-aeb929542213","465974","Humidity - 465974","19-11-24 12:57","32.62% @ 28.3° C"
"0ddc9f03-ae26-4a27-a9a2-ea058b5f78c9","465974","Humidity - 465974","19-11-24 12:47","32.61% @ 28.3° C"
"749c3f6f-04aa-42f0-b62b-4390b75cdd7d","465974","Humidity - 465974","19-11-24 12:37","32.69% @ 28.3° C"
"febd329f-5b90-445b-ae4f-48df884c1f1f","465974","Humidity - 465974","19-11-24 12:27","32.64% @ 28.3° C"
"eaae4898-ebbb-4f8f-8640-65ed5d70d578","465974","Humidity - 465974","19-11-24 12:17","32.63% @ 28.3° C"
"9c01e611-919d-47b4-ada3-b89b4843ac4d","465974","Humidity - 465974","19-11-24 12:07","32.59% @ 28.2° C"
"ff42e8b3-fcc1-4317-b322-6980c2cae6b2","465974","Humidity - 465974","19-11-24 11:57","32.56% @ 28.2° C"
"30d81107-9451-4909-839f-9e21c8b63a50","465974","Humidity - 465974","19-11-24 11:47","32.54% @ 28.2° C"
"acfbbec4-6b08-4f15-884a-b5f30ce5d036","465974","Humidity - 465974","19-11-24 11:37","32.58% @ 28.1° C"
"a8fc9470-f0f9-45d6-a588-3cf1eb19c04c","465974","Humidity - 465974","19-11-24 11:27","32.55% @ 28.1° C"
"67b521ed-2d73-4eb2-8527-7cb99c74c82e","465974","Humidity - 465974","19-11-24 11:17","32.55% @ 28.1° C"
"c26a2504-2b19-4de2-aaf7-08df4afad90e","465974","Humidity - 465974","19-11-24 11:07","32.56% @ 28° C"
"8017bfd5-4575-424f-9ffc-92c2bff31bbd","465974","Humidity - 465974","19-11-24 10:57","32.55% @ 28° C"
"3b7e1b9f-868a-4832-b075-206c23cbaf24","465974","Humidity - 465974","19-11-24 10:47","32.55% @ 28° C"
"a2b0010a-da34-44b3-9235-daeab11e7821","465974","Humidity - 465974","19-11-24 10:37","32.58% @ 27.9° C"
"06c28c2b-d005-4ba3-8d87-edbbf2eace9e","465974","Humidity - 465974","19-11-24 10:27","32.56% @ 27.8° C"
"23ac90c8-d21a-49d0-859c-a488f2dd1e01","465974","Humidity - 465974","19-11-24 10:17","32.53% @ 27.8° C"
"a4bcc1da-41d2-47cc-9446-85c7fe6308e8","465974","Humidity - 465974","19-11-24 10:07","32.57% @ 27.7° C"
"13a33813-48e4-4025-ad9b-613a9f1f80a3","465974","Humidity - 465974","19-11-24 09:57","32.56% @ 27.6° C"
"5a88b608-365b-41d8-a958-41e902d12c07","465974","Humidity - 465974","19-11-24 09:47","32.6% @ 27.6° C"
"2a62ee82-1dbc-444a-a6e6-ca7c804156b4","465974","Humidity - 465974","19-11-24 09:37","32.61% @ 27.5° C"
"9e651bca-cbdf-45e3-ae8f-b4a7e239874a","465974","Humidity - 465974","19-11-24 09:27","32.57% @ 27.5° C"
"6a555ce8-a3d9-438d-9e13-72fa2415dc6b","465974","Humidity - 465974","19-11-24 09:17","32.55% @ 27.4° C"
"15baab22-da12-44e5-ba02-17f4b222107f","465974","Humidity - 465974","19-11-24 09:07","32.51% @ 27.3° C"
"afa36c23-362d-4fef-9e44-fc79387c1635","465974","Humidity - 465974","19-11-24 08:57","32.46% @ 27.3° C"
"25d01403-9159-4c17-8c56-f1faacab3eab","465974","Humidity - 465974","19-11-24 08:47","32.46% @ 27.3° C"
"bfd983dd-0f95-49b0-85b2-e862b6be273b","465974","Humidity - 465974","19-11-24 08:37","32.39% @ 27.2° C"
"c9d619b1-c516-4964-ae85-7864a8d60c58","465974","Humidity - 465974","19-11-24 08:27","32.42% @ 27.2° C"
"ce4aa6db-fb26-4593-a3d5-5cff4bf357f8","465974","Humidity - 465974","19-11-24 08:17","32.38% @ 27.1° C"
"ee58ecdc-6b24-4ef5-bda7-df14f03abea5","465974","Humidity - 465974","19-11-24 08:07","32.52% @ 27.1° C"
"c691bc50-0fdf-48c9-942c-3282654906e6","465974","Humidity - 465974","19-11-24 07:57","32.52% @ 27° C"
"9aee5436-f69e-4c8b-88dd-6a3745f37440","465974","Humidity - 465974","19-11-24 07:47","32.5% @ 27° C"
"dbd0ae28-2f6d-4748-8f07-6cfec35bfffd","465974","Humidity - 465974","19-11-24 07:37","32.47% @ 27° C"
"1a85548a-f2a9-4ced-a7be-1dae5a4d187f","465974","Humidity - 465974","19-11-24 07:27","32.42% @ 27° C"
"67986d05-35fc-496a-9dd2-2208e0bff43f","465974","Humidity - 465974","19-11-24 07:17","32.43% @ 27° C"
"d6469831-9706-4a6d-8ee8-3e174e033e92","465974","Humidity - 465974","19-11-24 07:07","32.37% @ 27° C"
"d99b5c36-4456-4988-8ac9-d58a556c4ad1","465974","Humidity - 465974","19-11-24 06:57","32.37% @ 27° C"
"1bfb7408-0fe5-4ecf-9baa-76d76361fd0b","465974","Humidity - 465974","19-11-24 06:47","32.39% @ 27° C"
"940d1242-4478-4b69-b5b2-7d5544db6bbb","465974","Humidity - 465974","19-11-24 06:37","32.36% @ 27.1° C"
"156add2b-f592-439e-9444-905e1349b4a4","465974","Humidity - 465974","19-11-24 06:27","32.32% @ 27.1° C"
